en,Kn
ಆ ಹೊತ್ತಲ್ಲಿ ಜುಮಾದಿ ಮಾನಿಯ ರೂಪ ಬಿಟ್ಟು ಹದ್ದಿನ ರೂಪ ಆಗಿ ನಾರಾಯಣ ಲೋಕಕ್ಕೆ ಹಾರಿ ಹೋದ,"At that time, Narayan left the form of Jumadi Mani and flew to the world in the form of an eagle."
ಮನ್ಮಥನು ಚೇಷ್ಟೆ-ಮಾಡುತ್ತಾನೆ,Manmatha does mischief.
ಕೇಪುಲ ಹೂವಿಗೆ ಒಂದು ಕೇಪುಲದ ಕಾಯಿ ಹಾಕಿ,Add a clove to the cauliflower.
ಜ್ಯೇಷ್ಠ ಮಾಸ ಎಣೆಲು ಬೇಸಾಯದ ತಿಂಗಳು.,Jyeshtha is the month of cultivation.
ಅದರ ನಂತರ ಗಂಡನ ಮನೆಯವರು ಕಳಿಸಿ ಕೊಡುವ ಕ್ರಮ ನಡೆಯುತ್ತದೆ,This is followed by a dispatch by the husband's family.
ವಿವೇಕನು ನೆನೆಯುತ್ತಿದ್ದಾನೆ,Wisdom is remembering
ಅನೀಶನು ಅಸಭ್ಯವಾಗಿ ವರ್ತಿಸುತ್ತಿದ್ದಾನೆ,anish is acting rude
ಈ ತುಳುವ ಮಣ್ಣಿನಲ್ಲಿ ಒಳ್ಳೆಯ ಕಾರ್ಯ ಕೆಲಸವನ್ನು ಮಾಡಿದವರು,Those who have done good work in this fertile land
ಸುಮತಿಯಕ್ಕನ ಸಮಸ್ಯೆಗೆ ಅವಳಿಂದ ಉತ್ತರ ಸಿಗಬಹುದಾ,can she find the answer to sumathiakka's problem
ನಾವು ಒಳಗೆ ಬರಬಹುದೇ,can we come in
ಕೃಷ್ಣನು ಚಿಂತಿಸುವುದಿಲ್ಲ,Kr ̣ s ̣ n ̣ a does not care
ಉಬ್ಬು ದಪ್ಪದ ಕಾಲು ಉದ್ದದ ಹಂದಿಗಳು,Pigs that are a foot long with a bulge
ಹೀಗೆ ಬಿತ್ತನೆ ಮಾಡಿದನ್ನು ಚೌತಿಯ ದಿವಸ ಬೆಳಿಗ್ಗೆಯೆ ತೆಗೆಯುವುದು,"Thus, sowing is taken out on the morning of the Chaturthi."
ತಿಕ್ಕಿ ಒಂದು ಗಂಟೆಯಷ್ಟು ಹೊತ್ತು ಹಾಲೆಯಲ್ಲಿ ಮಲಗಿಸುತ್ತಾರೆ,They lie down in the womb for an hour.
ಕಚೇರಿಯಲ್ಲಿ ಯಾರೂ ಇಲ್ಲ,There's no one in the office.
ಜೀವಂತ ಹೆಣ ಮಲಗಿಸಿದಂತೆ ಇದ್ದಾಳೆ,It's like a dead body lying alive.
ಮಕ್ಕಳು ಮಗುಗಳು ಕರು ಜಾನುವಾರುಗಳು ಎಷ್ಟು ಎಣ್ಸೂರ ಬರ್ಕೆಯಲ್ಲಿ,"How many children, babies, and calves are there?"
ಒಂದು ಕೇಪುಲದ ಕಾಯಿ ಹಾಕಿ,Add a pinch of turmeric
ಆಕಾಶನು ಘೋಷಣೆ ಕೂಗುತ್ತಿದ್ದಾನೆ,The sky is shouting slogans
ದೇವಾಲಯದಲ್ಲಿ ಮೌನವಾಗಿ ಇರಬೇಕು,There should be silence in the temple.
ತುಳುನಾಡಿನ ಮಗು ರಟ್ಟೆ ಹೋಗಿ,go to tulunadu's baby rutte
ಈ ಮಾತು ಯಾಕೆ ಹೇಳಿದೆ ಅಂದರೆ ಆ ಕಾಲದಲ್ಲಿ ಊರಿನ ಸ್ಥಾನದ ದೊಂಪದಬಲಿ ಕಾಲಾವಧಿ ವರ್ಷಾವಧಿಯಲ್ಲಿ ಆಗುತ್ತಿತ್ತು,"The reason for this statement is that at that time, the time of sacrifice of the place of the town used to be during the rainy season."
ನವರಾತ್ರಿಯ ಹೊತ್ತಿಗೆ ಭತ್ತ ಬೆಳೆದು ಪೈರಾಗಿ ಬೆಳೆಯುತ್ತದೆ,"By the time of Navratri, rice is grown and grows into pigeon pea."
ಚೌತಿಯ ಹಬ್ಬಕ್ಕೆ ತುಳುನಾಡಿನಲ್ಲಿ ಒಂದೆರಡು ವಾರ ಮುಂಚೆಯೆ ಅಣಿಯಾಗುತ್ತಾರೆ,It is worn a couple of weeks in advance in Tulunadu for the festival of Chowti.
ಅನೀಶನು ಮನೆಯನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸುತ್ತಾನೆ,Anish cleans the house
ಹೆಣ್ಣು ಕೂರುವಾಗ ಕೈಯಲ್ಲಿ ಒಂದುಕಣ್ಣ ಅಡಿಕೆ,A little nut in a woman's hand when she sits down
ನಾವು ಈಗ ಹೆಣ ಸುಡುವ ಕ್ರಮದಲ್ಲಿ ಇದ್ದೇವೆ,We are now in the process of burning
ಹಾಗೆ ಅದಕ್ಕೆ ಅವರು ತಯಾರಾದರು,So they prepared for it.
ಹೀಗೆ ಕಲ್ಕುಡ ಕಲ್ಲುರ್ಟಿ ಯರು ಕೆಲವೆಡೆ ಪ್ರದಾನ ದೈವವಾಗಿ ಕೆಲವೆಡೆ ಪರಿವಾರ ಶಕ್ತಿಗಳಾಗಿ ನೆಲೆಯಾಗಿ ಭಕ್ತರ ಪೊರೆದು ಕಾಯುತ್ತಿದ್ದಾರೆ,"Thus, the Kalkuda Kallurtis, in some places as deities, in others as family forces, wait for the devotees."
ವಿಶ್ವಸನು ಅವನನ್ನು ಹುರಿದುಂಬಿಸುತ್ತಿದ್ದಾನೆ,Faith is cheering him on
ಅವನಿಗೆ ಇನ್ನು ಎತ್ತಿನ ಗಾಡಿಯೆ ಕೊಡಬೇಕು,He should be given another bullock cart.
ಚೈತನ್ಯನು ಶಿವನನ್ನು ಆರಾಧಿಸುತ್ತಾನೆ,Chaitanya worships Shiva
ಆರು ತಿಂಗಳಲ್ಲಿ ಸುಡು ಬಿಸಿಲಿಗೆ ಕಡಲು ನದಿ ಕೆರೆ ಕೆದು,"In six months, the lake was washed away by the scorching sun."
ಗೋಚರವಿಲ್ಲದ ಮಾಯಗಳು ತಪ್ಪುನ್ನು ಮನ್ನಿಸಿ ತೋಡಿನ ನೀರು ಕಾಡಪುಷ್ಪದಲ್ಲಿ ಸೇವೆ ತೆಗೆದುಕೊಳ್ಳುತ್ತಾರ,The invisible Maya take the service of the water of the pond in the wildflowers by forgiving the mistake.
ಅರ್ಜುನನು ಹೊರಗೆ ಹೋಗುವ ಅಗತ್ಯವಿದೆ,Arjuna needs to go out.
ಬಹಳ ಕಾರ್ಣಿಕದ ಶಕ್ತಿ ದೈವ ಜಿಮಾದಿಯನ್ನು ಮಂತ್ರತಂತ್ರದಲ್ಲಿ ಇಲ್ಲಿಗೆ ಕರೆಯಬೇಕು,The very Karnika Shakti deity Jimadi should be invoked here in Mantra Tantra.
ಅವರಿಗೆ ಅಲ್ಲಿ ಏನು ಕಲಿಸುತ್ತಾರೆ ಅದನೆಲ್ಲಾ ಆಲೋಚನೆ ಮಾಡಬೇಕಾಗುತ್ತದೆ,They need to think about what they are taught there.
ಅವರು ಒಪ್ಪಿಗೆ ನೀಡಿರುತ್ತಾರೆ.,They agree.
ಆದರೆ ಕೆಲವೊಂದು ಕ್ರಮಗಳನ್ನು ಮಾಡುವುದಿಲ್ಲ,But some steps are not being taken.
ಇದು ಮೋಸ ಮೂರು ಲೋಕ ಸುತ್ತಿದವ ನಾನು,I've been around three worlds
ವಿವೇಕನು  ಹುಡುಕುತ್ತಿದ್ದಾನೆ,The Wise One Is Searching
ಏಳ್ವರು ತಿನ್ನುವ ಎಲೆಅಡಿಕೆ ತಿಂದುಕೊಂಡೆ,I ate a leafy vegetable that was eaten by seven people.
ವೃಷಭದ ಸಿಡಿಲಿನೊಂದಿಗೆ ಬಂದ ಮಳೆಯ ಅಟ್ಟಹಾಸಕ್ಕೆ ಕೆದು ಹಳ್ಳಗಳು ತುಂಬುತ್ತವೆ,The rain accompanied by the thunder of Taurus fills the rivulets to the brim
ಮಹೇಶನು ತುಂಬಾ ಸುಂದರವಾಗಿದ್ದಾನೆ,mahesh is very beautiful
ಪಶ್ಚಿಮ ಬದಿಯಲ್ಲಿ ನಿಲ್ಲುವಾಗ ಆ ದಿಕ್ಕಿನಲ್ಲಿ ದೈವದ ಕಾರ್ಣಿಕದಲ್ಲಿ ಸಂಪೂರ್ಣವಾಗಿ ಕತ್ತಲೆ ಆಯಿತು,"While standing on the western side, there was complete darkness in the divine court in that direction."
ಪ್ರಸನ್ನನು ನಟಿಸುತ್ತಾನೆ,Prasanna plays the role of
ಚಂದ್ರನು ವಾದಮಾಡುತ್ತಾನೆ,The Moon Arguments
ಕರ್ನಾಟಕ ಸರಕಾರದ ಬೇಡಿಕೆಯನ್ನು ನೋಡಿ ಕೇಂದ್ರ ಸರಕಾರದ ವಿನಂತಿಯ ಮೇರೆಗೆ ಬೆಹರಿನ್ ದೇಶದವರು ಕರ್ನಾಟಕದ ಕೊರೊನಾ ರೋಗಿಗಳ ಜೀವ ಉಳಿಸುವ ಸಲುವಾಗಿ ಆಕ್ಸಿಜನ್ ಕಳುಹಿಸಿದ್ದಾರೆ.,"Seeing the demand of the Karnataka government, on the request of the central government, the people of Bahrain have sent oxygen to save the lives of corona patients in Karnataka."
ಒಂದು ನರಹುಳವೂ ಅಜ್ಜರ ಹೆಣದ ಕಣ್ಣಲ್ಲಿ ನೋಡಲಿಕ್ಕೆ ಬರಲಿಲ್ಲವಂತೆ,Not a worm could be seen in the eyes of the grandfather's corpse.
ಕೆಲವು ದೈವಗಳಿಗೆ ಮಾರಿ ದೊಂದಿಗೆ ಒಣ ಬಿದಿರನ್ನು ಕಟ್ಟಿ ಉದ್ದ ಮಾಡಿ ಹೊತ್ತಿಸುವುದು,"To sell to some deities, tie dry bamboo and light it long."
ಪ್ರೇಮಿಗಳ ದಿನದಂದು ಆಗುವ ಗಲಾಟೆ ನಾವು ಕೇಳಿದ್ದೇವೆ ನೋಡುತ್ತಿದ್ದೇವೆ,We have heard and seen the turmoil on Valentine's Day.
ಅರವಿಂದನು ಮನೆಯನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸುತ್ತಾನೆ,Aravind cleans the house
ನಂತರ ಮುಂಬಯಿಗೆ ತೆರಳಿ ಕಾನೂನು ಅಧ್ಯಯನ ಮಾಡಿದರು.,He then moved to Mumbai and studied law.
ಮಳೆಗಾಲದಲ್ಲಿ ಹಿಂದಿನವರ ಹಂಗಿಗೆ ತಿನ್ನುವ ದೊಡ್ಡ ವಸ್ತು ಇದು,It is a great pastime to eat during the monsoons.
ಚಂದ್ರನು ಪರೀಕ್ಷೆಯಲ್ಲಿ ಒಳ್ಳೆಯ ಅಂಕವನ್ನು ಪಡೆಯುತ್ತಾನೆ,Moon scores well on the test
ಪ್ರಕಾಶನು ಚೆನ್ನಾಗಿ ಹಾಡುತ್ತಾನೆ,the publication sings well
ಹೊಸ ಪದಗಳ ಪರಿಚಯ,The introduction of new words
ಗೊನೆ ಕೊಟ್ಟು ತಲೆ ತಗ್ಗಿಸಿ ನಿಂತ ಬಾಳೆಗಳು,Bananas with their heads down
ಅನ್ವಯನು ಸಾರಥಿಯಾಗಿದ್ದಾನೆ,The application is running
ಇದಕ್ಕೆ ಹೂ ಬಿತ್ತು ಹಾಕುವುದು ಎಂದು ಹೇಳುತ್ತಾರೆ,It is said to bear flowers.
ವಿಠ್ಠಲನು ಪ್ರತಿಭಟಿಸುತ್ತಿದ್ದಾನೆ,Vithoba is protesting
ಅಚಿಂತ್ಯನು ವೇಗವಾಗಿ ಹೋಗುತ್ತಾನೆ,Achintya goes fast
1957 ರಲ್ಲಿ ಬಾಹ್ಯಾಕಾಶ ತಲುಪಿದ ಮೊದಲ ಜೀವಿಯಾದ ಲೈಕಾ ನಾಯಿಯನ್ನು ಹೊತ್ತ ಸೋವಿಯಟ್ ಒಕ್ಕೂಟದ ಸ್ಪುಟ್ನಿಕ್ 2 ಗಗನ ನೌಕೆಯ ಉಡಾವಣೆ.,"The launch of the Soviet Union's Sputnik 2 spacecraft carrying the Laika dog, the first animal to reach space, in 1957."
ತಾಯಿ ಹೇಳುತ್ತಾಳೆ ಹೌದ ಮಗ ನೀನಾದರೂ ಲೋಕ ತಿಳಿದ ದಾರಿಯಲ್ಲಿ ಬಾ ಎನ್ನುತ್ತಾಳೆ,"The mother says yes, but the son says you come in the way the world knows."
ಜಗದೀಶನು ಉಪಯೋಗಿಸುತ್ತಿದ್ದಾನೆ,Jagdish is using
ಪೈರಿನ ಗದ್ದೆಗಳಲ್ಲಿ ನೀರು ನಿಲ್ಲುತ್ತದೆ,Water stagnates in the fields of Pairi
ಆದರೆ ದಕ್ಷಿಣದಲ್ಲಿ ಈ ಕ್ರಮ ಈಗಲೂ ಇದೆ,"But in the south, the measure is still in place"
ವಿಜಯನು ಹೊದಿಕೆಯನ್ನು ಉಪಯೋಗಿಸುತ್ತಿದ್ದಾನೆ,Vijay is using the envelope
ಅನ್ವಯನು ನುಡಿಯುತ್ತಿದ್ದಾನೆ,The application is playing
ಕಾರಗೃಹದ ಸಿ ಬ್ಲಾಕ್‍ನ ವಿಚಾರಣಾಧೀನ ಕೈದಿಗಳು ಜೈಲಿನಲ್ಲಿ ತಿರುಗುತ್ತಿರುವಾಗ ಅಭಿಷೇಕ್ ಮತ್ತು ಸಮೀರ್ ನಡುವೆ ಮಾತುಕತೆ ನಡೆಯುತ್ತಿತ್ತು ಇದುವೇ ಜೋರಾಗಿ ಪರಸ್ಪರ ಹೊಡೆದಾಡಿಕೊಂಡಿದ್ದಾರೆ.,Abhishek and Sameer were having a conversation when the under-trial inmates of the jail's C block were roaming around in the jail.
ಈ ಕ್ರಮಕ್ಕೆ ಹಿಡಿ ಅಕ್ಕಿ ತೆಗೆಯುವುದು ಎಂದು ಹೇಳುತ್ತಾರೆ,It is said that this action involves picking up rice.
ಜಯರಾಜನು ತಪ್ಪಿಸಿಕೊಳ್ಳುತ್ತಿದ್ದಾನೆ,Jayaraj is on the run
ಮಣಿಕಂಠನು ದೂಷಿಸುತ್ತಾನೆ,Manikanta blames
ಜೇಬಿನಿಂದ ತೆಗೆದ ಬೀಡಿಯ ಕಡ್ಡಿಗೆ ಅವಸರದಲ್ಲಿ ಬೆಂಕಿ ಹಚ್ಚಿ ಎರಡು ಸಲ ಹೊಗೆ ಬಿಟ್ಟ,He hurriedly set fire to a beedi stick taken out of his pocket and smoked it twice.
ಪ್ರಾಥಮಿಕ ಶಾಲೆಯಲ್ಲಿ ಇದನ್ನು ಮಾರುವವರು ಇದ್ದರು ನಮ್ಮ ಕಾಲದಲ್ಲಿ,"In our time, there were people who sold it in primary school."
ವಿನೋದನು ಕಥೆಯನ್ನು ಮುಗಿಸುತ್ತಿದ್ದಾರೆ,Fun is finishing the story
ಬಾಳೆಯ ಗಿಡದ ಚಿಕ್ಕ ದಂಡು ಕಡಿದು ಊದುಬತ್ತಿ ಹೊತ್ತಿಸಿ ಇಡುತ್ತಾರೆ,"A small bunch of bael is cut, blown, and lit."
ಎಂತಹವನ ಧೈರ್ಯದ ಎದೆಯೂ ಒಮ್ಮೆ ಗಡಗಡ ಹೇಳಬಹುದು,The chest of one's courage can once be said to be in turmoil.
ಕಾರ್ತಿಕನು ಸಮರ್ಪಿಸುತ್ತಿದ್ದಾನೆ,Kartik is Dedicating
ವಿಪಿನನು ಸಂಭ್ರಮವನ್ನು ಆಚರಿಸುತ್ತಾನೆ,Vipin celebrates
ಕೆಲವು ಸಂಪ್ರದಾಯ ಪದ್ದತಿಗಳನ್ನು ಆಚರಣೆ ಮಾಡುವ ಕ್ರಮವಿದೆ,There is a system of observing certain customs.
ದರ್ಶನನು  ಜಾರಿಸುತ್ತಿದ್ದಾನೆ,Darshan is running
ದಕ್ಷಿಣ ರಾಜ್ಯದಲ್ಲಿ ಜುಮಾದಿ ದೈವದ ಮೂಲ ಬೈಲ ಬೂಡು,The original bael ash of the Jumadi deity in the southern state
ಸುರೇಶನು ಉಪಯೋಗಿಸುತ್ತಿದ್ದಾನೆ,Surez is using
ಶ್ಯಾಮನು ಆರೋಗ್ಯವಂತನಾಗಿದ್ದಾನೆ,Shyam is healthy
ಇನ್ನೊಂದು ಮಳೆಗಾಲಕ್ಕೆ ತುಳುನಾಡು ಅಡಿ ಹಾಕಿದೆ,Tulunadu set for another rainy season
ಹಿರಿಯರ ರೂಪದಲ್ಲಿ ಬಂದ ನಂಬಿಕೆ ಅದು ದೈವ ನಂಬಿಕೆ,Faith in the form of elders is divine faith.
ಅಭಿರಾಮನು ತುಂಬಾ ಸುಂದರವಾಗಿದ್ದಾನೆ,Abhiram is very beautiful
ಪ್ರವೀಣನು ದೇವತೆಗಳ,The Gods and Goddesses
ಅವರು ಯಾವ ರೀತಿಯಲ್ಲಿ ನೋಡಿದ್ದಾರ,The way they saw it
ಅನೂಪನು ಹರಿಯುತ್ತಿದ್ದಾನೆ,Anoop is flowing
ತುಳುನಾಡಿನ ನಂಬಿಕೆಯಲ್ಲಿ ದೈವಾರಾಧನೆ ಮುಂಚಿತವಾಗಿ ಪ್ರಾಶಸ್ತ್ಯ ಪಡೆದ ನಂಬಿಕೆ,Devotion is a pre-eminent belief in the faith of Tulunadu.
ಪ್ರಪಂಚವೆಂಬ ಪುಸ್ತಕದಲ್ಲಿ ತುಳುನಾಡು ತನ್ನ ಹೆಮ್ಮೆಯ ಪುಟ ತೆರೆಯಲು ಇನ್ನು ಕೇವಲ ದಿನಗಳು ಮಾತ್ರ ಉಳಿದಿವೆ,"Only a few days are left for Tulunadu to open its page of pride in the book, Vishwa"
ಚಲನಚಿತ್ರ ಮತ್ತು ರಂಗನಟ ಶಂಕರನಾಗ್‍ರವರ ಜನ್ಮದಿನ.,It is the birthday of film and stage actor Sankaranagara.
ಬಿದಿರಿನ ರಾಜನ್ ಹೋದ ಅಕ್ಕಿ ನೋಡಲು ಇದು ಚಿಕ್ಕ ಗೋಧಿಯ ಆಕಾರ,This is the shape of a small wheat to see the rice gone by the bamboo king.
ಅದರಲ್ಲಿ ಇದ್ದ ಗಂಡು ಪಾರಿವಾಳ ತಿನ್ನಲಿಕ್ಕೆ ಹುಡುಕುತ್ತಾ ಹೋಗಿದ್ದ ತನ್ನ ಹೆಂಡತಿಯನ್ನು ನೆನೆಯುತ್ತಾ ಇರುತ್ತದೆ,The male pigeon in it remembers his wife who had gone in search of food.
ಆರವನು ಹೊದಿಕೆಯನ್ನು ಉಪಯೋಗಿಸುತ್ತಿದ್ದಾನೆ,The sixth is using the envelope
ಸುಧನ್ವನು ಓದುತ್ತಾನೆ,Sudhanva reads
ಭೂಮಿಯ ಕೇಡನ್ನು ದುಷ್ಟ ಕಳೆಯನ್ನು ತೆಗೆಯುವುದು ಇಲ್ಲಿ ಕಾಣುತ್ತದೆ,The removal of the evil weed from the earth is seen here
ವಿಭವನು ಇದ್ದಾನೆ,There is a potential
ನಮ್ಮ ಕಾಲಕ್ಕೆ ನೆಲೆ ಕೊಟ್ಟ ಪುಣ್ಯದ ಭೂಮಿ,The land of virtue that has settled our times
ತನ್ನ ಸೇಡು ಸಾಕಾರಗೊಳ್ಳಬೇಕಾದರೆ ಅದು ವೇಣೂರಿನಲ್ಲಿ ಮಾತ್ರ ಸಾಧ್ಯ ಅನ್ನುವುದನ್ನು ಬೀರ ಕಲ್ಕುಡ ಮನಗಂಡಿದ್ದ,Bir Kalkuda was convinced that his revenge could be realised only in Venur.
ಕೆಮ್ರಾಲ್ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಎರಡು ಜನ ಆರೋಗ್ಯ ಕಾರ್ಯಕರ್ತರು ಎಚ್ಚರಿಕೆ ನೀಡಿದರೂ ನಿರ್ಲಕ್ಷ್ಯ ಮಾಡಿ ಇಬ್ಬರು ಸಾವನಪ್ಪಿದ್ದಾರೆ.,"In the Kemral area, two health workers were alerted but two died due to negligence."
"ಸುಮಾರು 60 ಜನರನ್ನು ಸುರಕ್ಷಿತ ಜಾಗಕ್ಕೆ ಕಳುಹಿಸಿದ್ದಾರೆ. ಅದರ ಪ್ರಕಾರ, ಎಲ್ಲರೂ ಅವರ ಮನೆಗೆ ತೆರಳಲು ಸೂಚನೆ ನೀಡಿದ್ದಾರೆ.","Around 60 people have been sent to a safe place. Accordingly, everyone has been instructed to go to their homes."
ಅವಳಿಗೂ ತಾಯಿ ಆಗಲಿಕ್ಕೆ,To be a mother to her
ಹಾಗೆ ಯಾವಾಗಿನಂತೆ ಕೋಣೆಯಲ್ಲಿ ಮಲಗಿ ಇದ್ದ ರಮ್ಯಳಿಗೆ,"As usual, Ramya was sleeping in the room."
ನಂತರ ಬಡಿಸಿದ್ದರಿಂದ ಸ್ವಲ್ಪ,A little bit of food after
ಪ್ರತೀಕನು ಚೆನ್ನಾಗಿ ಹಾಡುತ್ತಾನೆ,Pratik sings well
ಇದನ್ನು ಕೆಲವೆರು ಈಗಿನ ತಿಳಿಯದವರು ಅಪಾರ್ಥ ಎನಿಸಿಕೊಳ್ಳುತ್ತಾರೆ,This is considered by some to be a misunderstanding by those who do not know it at present.
ದೇಶಕ್ಕೆ ಬಂದಿರುವ ಆಕ್ಸಿಜನ್ ಸಮಸ್ಯೆಯ ಮುಕ್ತಿಗಾಗಿ ಇನ್ನೊಮ್ಮೆ ಗಲ್ಫ್ ರಾಷ್ಟ್ರ ಭಾರತಕ್ಕೆ ಸಹಾಯಹಸ್ತ ನೀಡಿದೆ.,The Gulf nation has once again extended a helping hand to India to get rid of the oxygen problem that has come to the country.
ವಿವೇಕನು ಹಾಲಿನಿಂದ ಚಹಾವನ್ನು ಮಾಡುತ್ತಿದ್ದಾನೆ,The wise man is making tea with milk
ನಿರ್ಲಕ್ಷ್ಯ ಮಾಡಿದರೆ ಜೀವಹಾನಿಗೂ ಹಾದಿ ಆಗಬಹುದು ಎನ್ನುವುದೇ ಇದರ ಅರ್ಥ,This means that neglect can lead to loss of life.
ಕುಟುಂಬದ ಮನೆಯಲ್ಲಿ ಬಂದವಳು ಅಧಿಕಾರ ತೋರಿಸುತ್ತಾ,A woman shows authority when she comes to the family home
ಇದರ ವಿಚಾರವಾಗಿ ಪುಸ್ತಕದಲ್ಲಿ ಎಷ್ಟು ವಿಚಾರ ಬೇಕಾದರೂ ಬರೆಯಬಹುದು,Any number of things can be written about it in the book.
ಸೊಪ್ಪುನ್ನು ಮತ್ತೆ ಏನಾದರು ತಿಂಡಿ ಬಾಯಿಗೆ ಕೊಡುತ್ತಾರೆ,Spinach is again given to the mouth as a snack.
ಬಂಟನಾದ ನಿಮ್ಮಿಂದ ಮಾತ್ರ ಕಾರ್ಕಳದ ಅರಸನ ಅತಿಕ್ರಮಣವನ್ನು ಮೆಟ್ಟಿ ನಿಲ್ಲಲು ಸಾಧ್ಯ ಅನ್ನ್ನುವುದನ್ನು ಅರಿತು,"He realized that only you, the Bantas, could overcome the encroachment of the king of Karkala."
"ಆ ನೋಂದಣಿ ಮಾಡಲಿಕ್ಕಾಗಿ  ಲಿಂಕ್ ತೆರೆದು, ರಿಜಿಸ್ಟರ್ ಯುವರ್ ಸೆಲ್ಪ್ ಆಯ್ಕೆ ಮಾಡಿ, ಅಲ್ಲಿ ನಿಮ್ಮ ಮೊಬೈಲ್‍ಗೆ ಒಂದು ಒಟಿಪಿ ಬರುತ್ತದೆ.","Open the link to register and select Register Your Self, where you will receive an OTP on your mobile."
ಭಿಕ್ಷೆಯಾಗಿ ನನಗೆ ಕೊಡಲಿಕ್ಕೆ ಬ್ರಹ್ಮ ದೇವರು ಹೇಳಿದರೆಂದು ಸುಳ್ಳನಲ್ಲಿ ಕೇಳುತ್ತಾನೆ,He asks in a lie that God Brahma told him to give me an axe as alms.
ಆಗಲಿಕ್ಕೆ ದೈವ ದೇವರು ಬಿಡುವರೆ,God will let it go
ಅರ್ಜುನನು ನುಡಿಯುತ್ತಿದ್ದಾನೆ,Arjuna is speaking
ಮಹೇಶನು ಮನೆಯನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸುತ್ತಾನೆ,Mahesh cleans the house
ಅಚಿಂತ್ಯನು ಚಿತ್ರವನ್ನು ಗಮನಿಸುತ್ತಿದ್ದಾನೆ,Achintya is watching the film
ಚೇತು ಹಿಂದೆ ಎರಡು ಬಿಟ್ಟ,Setu left behind two
ಅಗತ್ಯದವು ಅಂದರೆ ಪೊರಿಯ ಉಂಡೆ ಅಕ್ಕಿಯ ಪೊಡಿ,The essentials are gram flour and rice powder.
ವಿಠ್ಠಲನು ಚಿಂತಿಸುವುದಿಲ್ಲ,Vithoba doesn't care
ಸ್ಥಳದ ಮಹಿಮೆಗೂ ಕಲೆಯಜಾಗ ಎಂದು ಹೇಳುತ್ತಾರೆ,It is said that the glory of a place is also art.
ಶ್ಯಾಮನು  ವರ್ತಿಸುತ್ತಿದ್ದಾನೆ,Shyam is acting
ಚಂದ್ರನು ಚಿತ್ರವನ್ನು ಗಮನಿಸುತ್ತಿದ್ದಾನೆ,The moon is watching the image
ಬೇರೆಊರಲ್ಲಿ ಇದ್ದವರು ಬಂದರು ಮನೆಯಲ್ಲಿ ತಾಯಿ,The mother who was in another town came to the house.
ಆ ಮಾತನ್ನು ಕೇಳಿದ ಜಿಮಾದಿಗೆ ಏಳು ಲೋಕದ ಕೆಂಡಮಂಡಲದ ಕೋಪ ಬಂತು,"Upon hearing this, Jima was angered by the seven worlds."
ಮೂಲ ಸ್ವರೂಪ ಕಳೆಯುತ್ತಾ ಬರುತ್ತಿದೆ,The original format is getting used to
ಭೂತಬ್ರಹ್ಮರು ಅದು ದ್ರಾವಿಡ ಮೂಲದ ಪ್ರಕೃತಿ ಶಕ್ತಿ,Bhootabrahmas is a natural force of Dravidian origin.
ಹಾಗೆಯೇ ನಮಗೆ ಕೋಟಿಚೆನ್ನಯರ ಕಥೆಯಲ್ಲಿ ಕೆಮ್ಮಲಜೆಯ ನಾಗ ಬ್ರಹ್ಮ,"Similarly, we have the Naga Brahma of Kemalaja in the story of Kotichennaiya."
ಎಂದು ಹಿಂದೆ ನೋಡಿ ಬ್ರಹ್ಮರಲ್ಲಿ ಕೇಳುತ್ತಾನೆ,He looks back and asks in Brahma.
"ಕೋವಿಡ್ 2ನೇ ಅಲೆಯಿಂದಾಗಿ ಉಡುಪಿ ಮತ್ತು ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲೆಯಲ್ಲಿ ಸುಮಾರು 4 ಲಕ್ಷಕ್ಕಿಂತ ಹೆಚ್ಚು ಜನ ಬೀಡಿ ಕಾರ್ಮಿಕರು ಕೆಲಸ ಇಲ್ಲದೆ ಸಂಕಷ್ಟದಲ್ಲಿರುವಾಗ, ಬೀಡಿ ಕಟ್ಟುವ ಕಾರ್ಮಿಕರು ಗೃಹ ಕಾರ್ಮಿಕರಾಗಿದ್ದಾರೆ.","While more than 4 lakh beedi workers are without work in Udupi and Dakshina Kannada district due to the second wave of Covid, beedi workers are domestic workers."
ಹಲಸು ತುಂಡರಿಸುವ ಹಾಲು ಕರಿಯುವ ಮೇಲಿನ ಗಾದೆಯನ್ನು ನೋಡಿ,Look up the proverb on milking a jackfruit.
ಮೃಗ ಪಕ್ಷಿಗಳಿಗೆ ಬಾಯಿ ಬರದಿದ್ದರೂ ಅದು ಮನುಷ್ಯರಿಗೆ ಉಪಕಾರ ಮಾಡುತ್ತವೆ ಎಂಬುದಕ್ಕೆ ಕೆಲವು ನಂಬಿಕೆಗಳಿವೆ.,"There are some beliefs that animal birds are beneficial to humans, even if they do not have a mouth."
ತಾನು ಕೆತ್ತಿದ ಮೂರ್ತಿಯಿಂದಲೇ ತನಗೆ ಮರಣವಾಯಿತು,He died from the idol he had carved
